Ticker	Name	Sector	Asset Class	Market Value	Weight (%)	Notional Value	Shares	Price	Location	Exchange	FX Rate	Market Currency	Accrual Date
SYK	STRYKER CORP	Health Care	Equity	"1,171,037,929.60"	0.27	"1,171,037,929.60"	"3,473,344.00"	337.15	United States	New York Stock Exchange Inc.	1	USD	-
SCHW	CHARLES SCHWAB CORP	Financials	Equity	"1,144,802,764.73"	0.26	"1,144,802,764.73"	"15,286,457.00"	74.89	United States	New York Stock Exchange Inc.	1	USD	-
TJX	TJX INC	Consumer Discretionary	Equity	"1,128,732,052.20"	0.26	"1,128,732,052.20"	"11,706,410.00"	96.42	United States	New York Stock Exchange Inc.	1	USD	-
BSX	BOSTON SCIENTIFIC CORP	Health Care	Equity	"1,102,405,197.96"	0.25	"1,102,405,197.96"	"15,047,846.00"	73.26	United States	New York Stock Exchange Inc.	1	USD	-
UPS	UNITED PARCEL SERVICE INC CLASS B	Industrials	Equity	"1,094,968,416.45"	0.25	"1,094,968,416.45"	"7,429,055.00"	147.39	United States	New York Stock Exchange Inc.	1	USD	-
BLK	BLACKROCK INC	Financials	Equity	"1,088,249,819.85"	0.25	"1,088,249,819.85"	"1,436,349.00"	757.65	United States	New York Stock Exchange Inc.	1	USD	-
MDT	MEDTRONIC PLC	Health Care	Equity	"1,082,380,412.25"	0.25	"1,082,380,412.25"	"13,657,797.00"	79.25	United States	New York Stock Exchange Inc.	1	USD	-
CI	CIGNA	Health Care	Equity	"1,065,125,649.51"	0.24	"1,065,125,649.51"	"3,004,501.00"	354.51	United States	New York Stock Exchange Inc.	1	USD	-
DE	DEERE	Industrials	Equity	"1,053,970,608.70"	0.24	"1,053,970,608.70"	"2,674,645.00"	394.06	United States	New York Stock Exchange Inc.	1	USD	-
VRTX	VERTEX PHARMACEUTICALS INC	Health Care	Equity	"1,052,728,205.70"	0.24	"1,052,728,205.70"	"2,647,041.00"	397.7	United States	NASDAQ	1	USD	-
ADP	AUTOMATIC DATA PROCESSING INC	Industrials	Equity	"1,039,434,093.40"	0.24	"1,039,434,093.40"	"4,219,510.00"	246.34	United States	NASDAQ	1	USD	-
LMT	LOCKHEED MARTIN CORP	Industrials	Equity	"1,026,720,864.66"	0.24	"1,026,720,864.66"	"2,209,047.00"	464.78	United States	New York Stock Exchange Inc.	1	USD	-
CB	CHUBB LTD	Financials	Equity	"1,023,889,912.76"	0.23	"1,023,889,912.76"	"4,162,831.00"	245.96	United States	New York Stock Exchange Inc.	1	USD	-
SBUX	STARBUCKS CORP	Consumer Discretionary	Equity	"1,021,545,118.08"	0.23	"1,021,545,118.08"	"11,629,612.00"	87.84	United States	NASDAQ	1	USD	-
MMC	MARSH & MCLENNAN INC	Financials	Equity	"1,018,160,477.26"	0.23	"1,018,160,477.26"	"5,053,658.00"	201.47	United States	New York Stock Exchange Inc.	1	USD	-
ADI	ANALOG DEVICES INC	Information Technology	Equity	"1,008,135,339.84"	0.23	"1,008,135,339.84"	"5,093,136.00"	197.94	United States	NASDAQ	1	USD	-
BA	BOEING	Industrials	Equity	"982,695,725.48"	0.23	"982,695,725.48"	"5,891,108.00"	166.81	United States	New York Stock Exchange Inc.	1	USD	-
PLD	PROLOGIS REIT INC	Real Estate	Equity	"980,869,425.90"	0.23	"980,869,425.90"	"9,490,754.00"	103.35	United States	New York Stock Exchange Inc.	1	USD	-
MDLZ	MONDELEZ INTERNATIONAL INC CLASS A	Consumer Staples	Equity	"979,206,267.60"	0.22	"979,206,267.60"	"13,830,597.00"	70.8	United States	NASDAQ	1	USD	-
REGN	REGENERON PHARMACEUTICALS INC	Health Care	Equity	"966,512,495.20"	0.22	"966,512,495.20"	"1,085,140.00"	890.68	United States	NASDAQ	1	USD	-
FI	FISERV INC	Financials	Equity	"945,023,959.18"	0.22	"945,023,959.18"	"6,164,942.00"	153.29	United States	New York Stock Exchange Inc.	1	USD	-
PANW	PALO ALTO NETWORKS INC	Information Technology	Equity	"935,291,755.03"	0.21	"935,291,755.03"	"3,238,657.00"	288.79	United States	NASDAQ	1	USD	-
